so_hieu,title,clause_type,content,parent_content,grandparent_content,keyword,reason_not_relation,suggested_label,audit_status
104/2016/QH13,Luật tiếp cận thông tin 2016,khoan,"3. Trường hợp phát hiện thông tin do mình tạo ra nhưng được cơ quan khác công khai không chính xác thì cơ quan tạo ra thông tin có trách nhiệm yêu cầu cơ quan đã công khai thông tin kịp thời đính chính, công khai thông tin đã được đính chính.",Điều 22. Xử lý thông tin công khai không chính xác,,đính chính,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
01082/QĐ-UBND,"Quyết định năm 2025 công bố thủ tục hành chính được sửa đổi, bổ sung lĩnh vực Lâm nghiệp và Kiểm lâm thuộc phạm vi chức năng quản lý của Sở Nông nghiệp và Môi trường tỉnh Đắk Lắk",khoan,"2. Rà soát quy trình nội bộ giải quyết thủ tục hành chính đã được Chủ tịch UBND tỉnh phê duyệt để tham mưu quy trình mới, sửa đổi, bổ sung hoặc thay thế đảm bảo theo quy định.",Điều 2. Giao Sở Nông nghiệp và Môi trường căn cứ Danh mục thủ tục hành chính được công bố tại Điều 1 Quyết định này có trách nhiệm:,,sửa đổi,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
101/2025/QH15,Luật chuyển giao người đang chấp hành án phạt tù 2025,khoan,2. Chính phủ quy định chi tiết điểm d khoản 1 Điều này.,Điều 16. Các trường hợp từ chối tiếp nhận người đang chấp hành án phạt tù ở nước ngoài về Việt Nam,,quy định chi tiết,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
19/2004/QĐ-UB,"Quyết định v/v Ban hành Quy chế tổ chức hoạt động Nhà văn hoá làng, thôn, bản, khu phố",dieu,"Điều 1: Quy chế này hướng dẫn xây dựng Nhà văn hoá (thiết chế văn hoá) làng, thôn, bản, khu phố.",,,hướng dẫn,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
43/2003/QĐ-BNV,"Quyết định phê duyệt bản Điều lệ (sửa đổi, bổ sung) của Hiệp hội Ngân hàng Nhà nước do Bộ trưởng Bộ Nội vụ ban hành",khoan,"2. Tổ chức mới được thành lập trên cơ sở chuyển đổi doanh nghiệp, sáp nhập hoặc hợp nhất hai hoặc nhiều hội viên của Hiệp hội Ngân hàng, nếu không có yêu cầu khác đương nhiên là hội viên Hiệp hội Ngân hàng.",Điều 9. Đại diện của hội viên tại Hiệp hội Ngân hàng.,,hợp nhất,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
3029/QĐ-UBND,Quyết định 2022 điều chỉnh Kế hoạch sử dụng đất huyện Hải Hà Quảng Ninh,khoan,"1. Bổ sung 01 công trình, dự án với tổng diện tích 3,75 ha vào Kế hoạch sử dụng đất năm 2022 của huyện Hải Hà (Chi tiết theo biểu 01 kèm theo).","Điều 1. Phê duyệt điều chỉnh, bổ sung Kế hoạch sử dụng đất năm 2022 của huyện Hải Hà với các nội dung như sau:",,bổ sung,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
533/QĐ-BHXH,Quyết định năm 2009 ban hành Quy chế làm việc của Tổ công tác Bảo hiểm xã hội Việt Nam thực hiện Đề án 30 của Thủ tướng Chính phủ do Tổng Giám đốc Bảo hiểm xã hội Việt Nam ban hành,diem,"d. Tổng hợp tình hình, đề xuất, kiến nghị hủy bỏ, bãi bỏ, sửa đổi, đơn giản hóa hoặc giữ nguyên các thủ tục hành chính, mẫu đơn, mẫu tờ khai hành chính, các yêu cầu hoặc điều kiện thủ tục hành chính thuộc thẩm quyền, phạm vi quản lý của Bảo hiểm xã hội Việt Nam.",3. Nhiệm vụ:,"Điều 2. Vị trí, chức năng, nhiệm vụ của Tổ công tác",hủy bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
123/2024/NQ-HĐND,"Nghị quyết quy định về quản lý, sử dụng tài sản công và thẩm quyền quyết định việc mua sắm hàng hóa, dịch vụ thuộc phạm vi quản lý của tỉnh Quảng Trị",khoan,"3. Trường hợp văn bản được dẫn chiếu tại Nghị quyết này được sửa đổi, bổ sung, thay thế bằng các văn bản khác của cấp có thẩm quyền thì áp dụng theo các văn bản sửa đổi, bổ sung, thay thế.",Điều 15. Tổ chức thực hiện,,sửa đổi,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
104/2016/QH13,Luật tiếp cận thông tin 2016,khoan,"4. Trường hợp công dân cho rằng thông tin công khai không chính xác thì kiến nghị với cơ quan đã công khai thông tin đó. Chậm nhất là 15 ngày kể từ ngày nhận được kiến nghị, cơ quan đó có trách nhiệm kiểm tra tính chính xác của thông tin và trả lời cho công dân; trường hợp xác định thông tin công khai không chính xác thì phải kịp thời đính chính, công khai thông tin đã được đính chính.",Điều 22. Xử lý thông tin công khai không chính xác,,đính chính,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
146/2025/QH15,Luật sửa đổi 15 Luật trong lĩnh vực Nông nghiệp và Môi trường 2025,khoan,"8. Bãi bỏ một số điều, khoản, điểm và cụm từ sau đây:","Điều 2. Sửa đổi, bổ sung một số điều của Luật Bảo vệ và kiểm dịch thực vật",,bãi bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
24/2023/QH15,Luật viễn thông 2023,khoan,4. Chính phủ quy định chi tiết khoản 2 và khoản 3 Điều này.,Điều 21. Cung cấp dịch vụ viễn thông qua biên giới đến người sử dụng dịch vụ viễn thông trên lãnh thổ Việt Nam,,quy định chi tiết,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,dieu,Điều 92. Đình chỉ thi hành quyết định áp dụng biện pháp xử lý chuyển hướng,,,đình chỉ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
03/VBHN-BXD,Văn bản hợp nhất năm 2023 hợp nhất Nghị định về quản lý đầu tư phát triển đô thị do Bộ Xây dựng ban hành,khoan,"2. Chủ trì, phối hợp với các Bộ ngành liên quan hướng dẫn các địa phương thực hiện các ưu đãi đầu tư cho các dự án đầu tư phát triển đô thị.",Điều 42. Bộ Kế hoạch và Đầu tư,,hướng dẫn,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
43/2003/QĐ-BNV,"Quyết định phê duyệt bản Điều lệ (sửa đổi, bổ sung) của Hiệp hội Ngân hàng Nhà nước do Bộ trưởng Bộ Nội vụ ban hành",khoan,"3. Trường hợp tổ chức là hội viên Hiệp hội Ngân hàng không thuộc trường hợp tại khoản 2 Điều này, khi chia, tách, hợp nhất, sáp nhập thì giải quyết quyền lợi và nghĩa vụ của hội viên đó với Hiệp hội Ngân hàng theo quy định của pháp luật và Điều lệ Hiệp hội Ngân hàng.",Điều 9. Đại diện của hội viên tại Hiệp hội Ngân hàng.,,hợp nhất,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
59/2024/QH15,Luật tư pháp người chưa thành niên 2024,khoan,"2. Chỉ áp dụng biện pháp tạm giữ, tạm giam đối với người chưa thành niên khi có căn cứ cho rằng việc áp dụng các biện pháp ngăn chặn khác không hiệu quả.
Cơ quan, người có thẩm quyền tiến hành tố tụng phải thường xuyên theo dõi, rà soát, kiểm tra việc tạm giữ, tạm giam đối với người chưa thành niên bị tạm giữ, tạm giam; nếu phát hiện không còn căn cứ hoặc không còn cần thiết tạm giữ, tạm giam thì phải kịp thời ra quyết định hủy bỏ, thay thế bằng biện pháp ngăn chặn khác.","Điều 15. Hạn chế tối đa việc áp dụng biện pháp ngăn chặn, biện pháp cưỡng chế",,hủy bỏ,Có keyword giống action relationship nhưng extractor không xác định relation; cần audit ngữ nghĩa thủ công.,none,pending
104/2016/QH13,Luật tiếp cận thông tin 2016,khoan,"3. Trường hợp Ủy ban nhân dân cấp xã không thể xác định được tính chính xác của thông tin do mình nắm giữ thì chậm nhất là 05 ngày làm việc kể từ ngày phát hiện hoặc nhận được đề nghị của người yêu cầu cung cấp thông tin, Ủy ban nhân dân cấp xã phải đề nghị cơ quan tạo ra thông tin xem xét. Chậm nhất là 15 ngày kể từ ngày nhận được đề nghị, cơ quan tạo ra thông tin phải xác định tính chính xác của thông tin và trả lời cho Ủy ban nhân dân cấp xã; nếu thông tin đã cung cấp không chính xác thì phải gửi kèm theo thông tin chính xác.
Chậm nhất là 03 ngày làm việc kể từ ngày nhận được trả lời, Ủy ban nhân dân cấp xã phải đính chính lại thông tin hoặc thông báo cho người yêu cầu cung cấp thông tin biết.",Điều 32. Xử lý thông tin cung cấp theo yêu cầu không chính xác,,đính chính,Có keyword hành động nhưng không có target văn bản/điều khoản pháp luật rõ ràng trong clause.,none,pending
